index,facility_name,source_facility_type,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,cluster
2233,Dominion Community Guest Home,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,79,commercial st,B1G 1B3,Dominion,NS,,Cape Breton,1217030.0,12.0,46.21071558,-60.02235419,3
2234,Dutch Brook Guest Home,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,2400,highway 327,B1L 1G1,Dutch Brook,NS,,Cape Breton,1217030.0,12.0,46.05163944,-60.20140324,3
2235,Dykeland Lodge,nursing home,Nursing and residential care facilities,Province of Nova Scotia,124,cottage street,B0N 2T0,Windsor,NS,,Windsor,1208002.0,12.0,44.9797639,-64.12698544,3
2239,Eastern Kings Memorial Community Health Centre,community health centre,Ambulatory health care services,Province of Nova Scotia,23,earnscliffe avenue,B0K 1L0,Wolfville,NS,,Wolfville,1207024.0,12.0,45.08760375,-64.37074372,3
224,Red Deer Regional Hospital Centre,general,Hospitals,Public Health Agency of Canada,3942,50a ave,T4N 6R2,Red Deer,AB,3942 - 50a ave. red deer ab t4n 6r2,Red Deer,4808011.0,48.0,52.2607786,-113.818671,4
2240,Eastern Memorial Hospital,general,Hospitals,Public Health Agency of Canada,1746,union st,B0H 1H0,Canso,NS,1746 union st. canso ns b0h 1h0,Guysborough,1213004.0,12.0,45.33296370000001,-60.98381260000001,3
2242,Eastern Shore Memorial Hospital,general,Hospitals,Public Health Agency of Canada,22637,rte 7,B0J 3B0,Sheet Harbour,NS,22637 rte. 7 sheet harbour ns b0j 3b0,Halifax,1209034.0,12.0,44.920899,-62.532983,3
2244,Evergreen Home for Special Care,nursing home,Nursing and residential care facilities,Province of Nova Scotia,655,park st,B4N 3V7,Kentville,NS,,Kentville,1207012.0,12.0,45.07629159,-64.54005837,3
2245,Fishermen's Memorial Hospital,extended care,Hospitals,Public Health Agency of Canada,14,high st,B0J 2C0,Lunenburg,NS,14 high st. lunenburg ns b0j 2c0,Lunenburg,1206006.0,12.0,44.382276,-64.326952,3
2246,Foyer Celeste Inc,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,8064,highway 31,B0W 2J0,Meteghan,NS,,Clare,1203001.0,12.0,44.18382208,-66.16954720000001,3
2248,Gables Lodge Limited,nursing home,Nursing and residential care facilities,Province of Nova Scotia,260,church st,B4H 3C9,Amherst,NS,,Amherst,1211011.0,12.0,45.82493255,-64.18951872,3
2249,Glace Bay Healthcare Facility,general,Hospitals,Public Health Agency of Canada,300,south st,B1A 1W5,Glace Bay,NS,300 south st. glace bay ns b1a 1w5,Cape Breton,1217030.0,12.0,46.183211,-59.938572,3
225,Redwater Health Centre,general,Hospitals,Public Health Agency of Canada,4812,58 st,T0A 2W0,Redwater,AB,4812 - 58 st. redwater ab t0a 2w0,Redwater,4811065.0,48.0,53.9495991,-113.1255813,4
